PUBLICATION,SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,REGION,YEAR,VALUE,REDUCTIONS
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion and process,Total,Chemicals,Mt CO2,World,2020,1286.79,0.00
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion and process,Total,Chemicals,Mt CO2,World,2030,1492.19,-0.16
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion and process,Total,Chemicals,Mt CO2,World,2040,1492.00,-0.16
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion and process,Total,Chemicals,Mt CO2,World,2050,1429.13,-0.11
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion and process,Total,Non-metallic minerals: cement,Mt CO2,World,2020,2458.33,0.00
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion and process,Total,Non-metallic minerals: cement,Mt CO2,World,2030,2648.17,-0.08
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion and process,Total,Non-metallic minerals: cement,Mt CO2,World,2040,2699.14,-0.10
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion and process,Total,Non-metallic minerals: cement,Mt CO2,World,2050,2585.30,-0.05
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Transport,Mt CO2,World,2020,7112.95,0.00
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Transport,Mt CO2,World,2030,8471.76,-0.19
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Transport,Mt CO2,World,2040,8570.57,-0.20
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Transport,Mt CO2,World,2050,8699.66,-0.22
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road,Mt CO2,World,2020,5484.78,0.00
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road,Mt CO2,World,2030,6064.52,-0.11
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road,Mt CO2,World,2040,5925.10,-0.08
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road,Mt CO2,World,2050,5666.90,-0.03
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road passenger light duty vehicle,Mt CO2,World,2020,2803.05,0.00
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road passenger light duty vehicle,Mt CO2,World,2030,2961.60,-0.06
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road passenger light duty vehicle,Mt CO2,World,2040,2760.55,0.02
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road passenger light duty vehicle,Mt CO2,World,2050,2470.34,0.12
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road heavy-duty trucks,Mt CO2,World,2020,1688.10,0.00
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road heavy-duty trucks,Mt CO2,World,2030,2069.79,-0.23
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road heavy-duty trucks,Mt CO2,World,2040,2274.16,-0.35
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Road heavy-duty trucks,Mt CO2,World,2050,2435.04,-0.44
World Energy Outlook 2022,Stated Policies Scenario,CO2 combustion,Total,Total aviation (domestic and bunkers),Mt CO2,World,2020,586.31,0.00
